,series,episode,rt_synopsis
321,below deck mediterranean,stew coup,"

                Hannah confronts Kasey and Brooke about the hierarchy of the interior; the primary charter guest asks the crew to participate in a trust exercise involving arrows; Colin gets a surprise visit that leaves him in tears.
            
Show More
"
322,eurek,a new world,"

                Carter and his travelers realize the startling implications of their return to Eureka.
            
Show More
"
323,below deck down under,the safety dance,"

                Aesha gives Magda a second chance at service; safety issues come to a head between Captain Jason and Jamie, but when Jamie doesn't agree with the captain's orders, he tries to get the deck team on his side.
            
Show More
"
324,million dollar listing new york,good as gold,"

                Ryan premieres a music video for his Tribeca loft; Tyler pitches the biggest listing of his career; Fredrik and Derek tour a rental home for themselves in Los Angeles, but local brokers don't give them a warm welcome; Steve gets blind-sided.
            
Show More
"
325,chicago med,clarity,"

                A 9/11 hero with pulmonary fibrosis needs a new set of lungs; Sarah considers hospitals for her residency match while April and Maggie want to remain at Chicago Med; a teenage hockey player with an overbearing father is injured.
            
Show More
"
326,wwe superstars,episode 22,"

                WWE superstars the Uso brothers and Naomi take on tough new challenges, a longer zip line, and a 40-foot volcano with a water slide.
            
Show More
"
327,new amsterdam,every last minute,"

                Bloom treats an inmate from Rikers who is in a difficult position; Max gives a wealthy donor something to think about when he shows her the hospital; Reynolds begins to build his department; Sharpe battles skepticism from potential patients.
            
Show More
"
328,married to medicine,friendship foes & marital woes,"

                Simone and Heavenly's feud breaks up Damon's birthday party; Toya discusses racism and diversity with her boys; Heavenly helps a gossip blogger; Anila confronts financial woes due to the pandemic; Simone throws a graduation party for her son.
            
Show More
"
329,listing impossible,the finest english manor in napa,"

                When Aaron and Neyshia travel to Napa to take on a one-of-a-kind vineyard estate, they must tread carefully - because the eccentric English owners have already fired them once before.
            
Show More
"
330,the profit,hangout lighting,"

                A Chicago-based lighting company sparks innovation with unique designs and customizable options, but the owner's lack of leadership causes sales to fizzle; if Marcus can't convince her to value her team, it may be lights out for this startup.
            
Show More
"
331,good girls,one night in bangkok,"

                The pressure is on after Lucy's body is discovered in a graveyard; Beth and Dean do everything they can to get Boland's Bubbles up and running but encounter red tape; Harry gets in trouble and his teacher encourages Ruby and Stan to get him tested.
            
Show More
"
332,"murder, she wrote",proof in the pudding,"

                Jessica discovers clues to a puzzling murder when she is a guest star on a friend's television cooking show.
            
Show More
"
333,bel-air,pa to la,"

                When Will's friend Tray visits, his loyalty to Philly is put to the test; the Banks family supports Hilary by hosting an influencer event.
            
Show More
"
334,superstore,all sales final,"

                The employees celebrate the past, present and future of Cloud 9.
            
Show More
"
335,house,top secret (edited),"

                    Popular and dashing American singer Nick Rivers (Val Kilmer) travels to East Germany to perform in a music festival. When he loses his heart to the gorgeous Hillary Flammond (Lucy Gutteridge), he finds himself caught up in an underground resistance movement. Rivers joins forces with Agent Cedric (Omar Sharif) and Flammond to attempt the rescue of her father, Dr. Paul (Michael Gough), from the Germans, who have captured the scientist in hopes of coercing him into building a new naval mine.
                
Show More
"
336,mr. robot,404 not found,"

                Elliot, Mr. Robot and Tyrell walk in a winter wonderland; Darlene meets a bad Santa; Dom is on the prowl.
            
Show More
"
337,heroes,four months ago...,"

                The calendar turns back four months, and Nathan must pay a terrible price for his heroic deeds; D.L. sacrifices for Nikki and Micah; Maya manifests her dark powers for the first time.
            
Show More
"
338,joe vs carole,a gun-toting...,"

                Hoping to elevate his Internet presence, Joe hires a reality producer named Rick Kirkham; Joe's videos threaten Carole's legislative efforts; Joe, John and Travis begin an unconventional relationship.
            
Show More
"
339,project runway,"if you got it, haunt it","
Project Runway alums Delvin and Afa were previously sent home after struggling with materials.
"
340,the wall,jason and jay,"

                Jason and Jay are U.S. Navy veterans and husbands from Darnestown, Md.; after serving in Iraq on the bomb squad, they helped to secure, organize and clean up their hometown community; they face the wall, hoping to walk away with millions.
            
Show More
"
341,downton abbey,episode #01,"

                The lives of the Crawley family and the servants of Downton Abbey change when the sinking of the Titanic leaves the estate without an apparent heir. Some of the staff plot to make the stay of the new valet short-lived.
            
Show More
"
342,that's my jam,jay pharoah & nikki glaser vs. terry crews & dan finnerty,"

                Celebrity guests Jay Pharoah, Nikki Glaser, Terry Crews and Dan Finnerty compete in a series of music, dance and trivia-based games and musical performances.
            
Show More
"
343,frasier,martin does it his way,"

                A great aunt's last request causes anxiety for the Crane brothers.
            
Show More
"
344,charmed,something wicca this way goes,"

                The sisters try to divert Zankou's attention from the Nexus, but Zankou steals Phoebe's power of premonition, enabling him to anticipate and prevent their attacks.
            
Show More
"
345,superstore,"california, part 2","

                As the Cloud 9 employees prepare to send Amy and Jonah off, Mateo and Glenn attempt to organize a video tribute; Dina searches for a new best friend.
            
Show More
"
346,american pickers,the doctor is in,"

                Mike and Frank are scolded when they arrive late for an appointment with Dr. Fred; once they get past his grumpy assistant, they find themselves in a strange world filled with all kinds of weird and wonderful things.
            
Show More
"
347,hell's kitchen,5 chefs,"

                The final five chefs must impress tough critics with a gourmet burger; a huge misstep brings dinner service to a halt; one chef is eliminated.
            
Show More
"
348,girls5eva,who u know,"

                The women try to get heat by guest-starring in Stinker's latest music video; Dawn has doubts about her son entering the business; Wickie assumes the role of Girls5eva's publicist; Summer pushes Gloria to flirt.
            
Show More
"
349,lipstick jungle,chapter seven: carpe threesome,"

                Wendy deals with a difficult scriptwriter; Nico faces a harsh reality when she learns that Charles has had a heart attack; Victory gets used to the idea of Joe being her boss instead of her boyfriend.
            
Show More
"
350,"murder, she wrote","menace, anyone?","

                Jessica trades passing shots with a murderer during a tennis-tournament fund-raiser hosted by one of Jessica's former students (Linda Hamilton).
            
Show More
"
351,"murder, she wrote",a christmas secret,"

                The future son-in-law (Sean O'Bryan) of a prominent Cabot Cove family is suspected in the shooting of a hardware store employee.
            
Show More
"
352,kitchen nightmares,nino's italian restaurant,"

                A well-liked, retired couple ask Ramsay to help their son, who has taken over their restaurant, Nino's, in Long Beach, Calif.
            
Show More
"
353,married to medicine,ballin' on a budget,"

                Jackie and Curtis have big dreams for their house but their budget may be too small; Contessa realizes her time in Nashville is hard on her family; things get ugly at a party thrown by Simone's friend; Toya hosts a get-together for her birthday.
            
Show More
"
354,keeping up with the kardashians,family first,"

                Even though things are always changing for the Kardashian family in ways they never expected, Kim, Kourtney, Khloe and the rest of the Kardashian/Jenner clan are determined to remember that family always comes first. Although the family members frequently are at odds, between siblings and their relationships, they always support one another in the end, regardless of how many controversies, and there are many. As the family's fame grows, they become more dependent on one another for support through all the highs and lows of being in the limelight.
            
Show More
"
355,blind date,episode #10,"

                Sergeant Craddock meets an attractive dance instructor; Bernie and Vernon try their hand at auto mechanics when Lord Ashfordly's Bentley breaks down.
            
Show More
"
356,the wall,mikail and shakira,"

                Mikail, a FedEx driver in Georgia, and his sister Shakira, an award-winning ICU nurse in North Carolina, both enjoy helping the community; these siblings build up their bank in hopes of walking away with life-changing money.
            
Show More
"
357,the king of queens,acting out,"

                Carrie wants to put Arthur in a retirement home after he starts a fire in the basement, but Doug makes a discovery that makes him want to change her mind.
            
Show More
"
358,below deck mediterranean,bad vibrations,"

                After arguing with Hannah and professing his attraction to Brooke, Joao must deal with the consequences of his alcohol-fueled alter ego, Jezabob; Brooke confesses that she is torn between being single and dating again; Sandy's friend comes aboard.
            
Show More
"
359,bel-air,the strength to smile,"

                The Banks family supports Lisa when they host an event in memory of her mother at the mansion; Will puts his feelings of mistrust aside and steps up to the plate for the Bankses and Lisa.
            
Show More
"
360,lipstick jungle,chapter eighteen: indecent exposure,"

                Josie offers Shane the chance to go on tour with Natasha Bedingfield, causing tension between him and Wendy; Victory has to decide if she wants to shed her clothing for her brand's new ad campaign.
            
Show More
"
361,mr. robot,eps2.3_logic-b0mb.hc,"

                Elliot is unable to quit the game; Dom and the FBI travel to China to investigate five/nine; Joanna is haunted; Darlene asks Angela for help.
            
Show More
"
362,mr. robot,eps3.3_metadata.par2,"

                Dom has a close call; Elliot chases himself with Darlene on the lookout.
            
Show More
"
363,30 rock,standards and practices,"

                Jenna constructs a surprising plan to get publicity; Jack ends up parenting his teenage nemesis, Kaylie Hooper (Chloe Grace Moretz); Liz rejects Kenneth's new authority over TGS.
            
Show More
"
364,the profit,who's the big cheese,"

                    When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.
                
Show More
"
365,zoey's extraordinary playlist,zoey's extraordinary reckoning,"

                Simon wrestles with his future at SPRQ Point after calling out racial bias at the company; Mo and Max pitch a new investor for their business venture.
            
Show More
"
366,better late than never,how do you say roots in german?,"

                The guys head to Berlin in the hope of finding Henry's roots; they check into a communist hotel, meet a bear, visit the Berlin Wall, have a surprise run-in with Al Roker, and are treated to a special performance by David Hasselhoff.
            
Show More
"
367,wwe hall of fame,wwe hall of fame 2004,"
""American Idol"" premier; State of the Union; Iowa caucus; ""The Butterfly Effect""; Trista and Ryan; ""The Apprentice.""
"
368,nurses,friday night legend,"

                Grace is forced to confront her own past trauma when she encounters a patient whose diagnosis proves to be elusive.
            
Show More
"
369,listing impossible,th best castle in orange county,"

                A $30 million Tuscan-style castle sticks out like a sore thumb in its Newport Beach neighborhood, but the stubborn seller is convinced she's got the right house at the right price; Aaron must find an NFL star the perfect L.A. home.
            
Show More
"
370,project runway,olympic game plan,"

                Designers are paired with real athletes who are competing to be in the 2020 Summer Olympic and Paralympic games and the designers need to make their dream outfit for a victory night celebration.
            
Show More
"
371,joe vs carole,don,"
Carole Baskin, a big cat rescuer, learns that roadside zoo owner Joe Exotic has hired a hit man to murder her; seven years earlier, their rivalry begins when she builds a coalition to shut down his animal show and cub-petting operation.
"
372,million dollar listing los angeles,"big listings, big losses","

                Josh Flagg balks at a listing two hours away, prompting Grandma Edith to lecture him on work ethic; Madison suffers a devastating personal loss; Josh Altman heads towards failure.
            
Show More
"
373,yellowstone,no good horses,"

                The Duttons deal with a painful family anniversary; Kayce saves a young girl from danger; Jamie and Beth plan their respective political careers; Rainwater makes an ominous threat to the Dutton legacy.
            
Show More
"
374,pawn stars,the great pawnbino,"

                A personal check signed by Babe Ruth; Navy buttons that date back to the Civil War; Rick's back starts acting up and Chum tries to help.
            
Show More
"
375,jay leno's garage,tribute,"

                Jay rides a mechanical bull with country icon Dwight Yoakam before they cut loose in a couple of killer Corvettes; Jay views a replica of 007's original Aston Martin DB5; Jay and Paul Reiser ride a pair of Johnny Carson's Corvette-powered swan boats.
            
Show More
"
376,young rock,let the people decide,"

                In 2032, candidate Johnson rides the ups and downs of election day; in 1984, Rocky and Ata are at a crossroads with their futures in wrestling; in 1987, teenage Dwayne learns that the family is leaving Nashville.
            
Show More
"
377,pawn stars,in the presence of greatness,"

                Rick and Chum grapple with a Batman utility belt toy from the 1960s; a gorgeous Mosrite electric guitar shocks everyone at the shop; Rick continues his hunt for The Object, an item featured in the art for Led Zeppelin's album ""Presence.""
            
Show More
"
378,young rock,what business?,"

                Tampa, 1995: With his football dreams dashed, Dwayne asks Rocky to train him to become a wrestler; Rocky begrudgingly agrees, but when Dwayne feels he isn't progressing, he secretly turns to outside help.
            
Show More
"
379,million dollar listing new york,"i love you, puffer munkin","

                Ryan tries to close the biggest deal of his life, and he plans on sealing it with a kiss; a winter wonderland awaits Fredrik in Sweden; a twist throws Luis for a loop as he sees the finish line for his Brooklyn townhouse.
            
Show More
"
380,the amber ruffin show,episode #15,"

                Amber explores why Black people don't comply with police, interviews Broadway actor Jaquel Spivey and gets a visit from Marjorie Taylor Greene.
            
Show More
"
381,the office,the delivery part 2 (edited),"
Michael feels left out when the rest of the staff gossips about the summer interns, so he hunts for a juicy secret to share.
"
382,downton abbey,episode #03,"

                Cora's attempts at matchmaking are dashed when Mary is smitten with the friend of an intended suitor. The couple's attraction starts a series of events with consequences that affect the entire household.
            
Show More
"
383,wild child,asia minors,"

                Sheinelle Jones returns to the continent of Asia to discover the baby animals that survive and thrive in this incredible region; from ladybugs to rhinos, she finds the smallest and largest animals living in this diverse part of the world.
            
Show More
"
384,the amber ruffin show,episode #02,"

                Amber talks about President Trump's health, reviews colossal failures and is confronted by an intruder in the studio.
            
Show More
"
385,summer house,watch with the cast: part 1,"

                A group of New Yorkers rent a summerhouse in Montauk, N.Y.; Ashley and Lauren extend an invitation to their friend, Stassi, who sets her sights on Kyle; longtime friends Everett and Lindsay become intimate; new guy Carl plays the field.
            
Show More
"
386,the wall,team usa celebration: apolo and bianca,"

                ""The Wall"" celebrates NBC's Tokyo Olympic Games; two-time gold medalist speed skater Apolo Ohno and his fiancee, Bianca Stam, take on the wall to raise money for the Team USA Fund, supporting future Olympic and Paralympic athletes.
            
Show More
"
387,the office,fire,"

                A fire in the kitchen causes the employees to evacuate to the parking lot where they learn more about one another than they wanted.
            
Show More
"
388,friday night lights,injury list,"

                Tami has to defend her actions and her job; Julie receives an unexpected phone call; Luke becomes more desperate to alleviate his pain.
            
Show More
"
389,top chef,for julia & jacques,"

                The chefs flash back to their college days when they must prepare a ramen noodle dish judged by Andy Cohen and his college roommate, Dave Ansel; chef Jacques Pepin challenges the chefs to create a dish inspired by Julia Child's cooking techniques.
            
Show More
"
390,summer house,keep prom and carry on,"

                The housemates let loose with a prom party; Lindsay and Carl explore a flirtatious side of their friendship; the arrival of an unexpected guest leaves Paige speechless; Kyle and Amanda are feeling the pressure.
            
Show More
"
391,open house nyc,fresh and personal design,"
The home of wellness influencer Shayna Taylor; getting physical with Isaac Boots.
"
392,below deck,land ahoy... finally,"

                Energetic charter guests lift the spirits of the sea-weary crew; the crew mocks Adrienne for being overly friendly; one crew member unexpectedly leaves.
            
Show More
"
393,listing impossible,the purple rose of calabasas,"

                Aaron and Neyshia take on a client with a curious preference for purple, only to learn that paint color is the least of their problems with this house.
            
Show More
"
394,yellowstone,the unravelling: pt. 1,"

                A sheriff's investigation turns the heat up on Rip; Jamie makes a bold decision about his future and faces the consequences.
            
Show More
"
395,revelations,hour one,"

                While Dr. Massey is still recovering from the loss of his daughter to a maniacal murderer, he embarks on a journey through the unfamiliar world of faith with the guidance of Sister Josepha Montafiore.
            
Show More
"
396,angelyne,glow in the dark queen of the universe,"

                Murals, hot seats, centerfolds, movie roles, fresh eyes -- huge, gigantic fame; exposure leaves Angelyne exposed.
            
Show More
"
397,the office,the duel,"

                Andy remains unaware of Angela's affair with Dwight; Michael is nervous about a corporate meeting with Wallace (Andy Buckley).
            
Show More
"
398,the profit,tonnie's minis,"

                Marcus helps the owner of a New York cupcake shop before he loses his business and his marriage.
            
Show More
"
399,saved by the bell,house party,"

                Screech's (Dustin Diamond) house party turns into a disaster when his mother's favorite statue is broken. With Mark-Paul Gosselaar.
            
Show More
"
400,blind date,episode #09,"

                In an age of social media and dating apps, hopeful singles take the ultimate plunge by going on blind dates hoping to form true connections; Nikki Glaser hosts.
            
Show More
"
401,the face,"sell, sell, sell!","

                The girls learn firsthand that it takes more than a pretty face to be a brand ambassador and that they'll have to act in commercial shoots for fast growing lifestyle brand Alex & Ani.
            
Show More
"
402,forensic files,innocence lost,"

                In a mision to discredit bogus forensics and raise awareness, the Innocence Project enlists allies including former convicts betrayed by the system.
            
Show More
"
403,"murder, she wrote",trial by error,"

                Jury foreman Jessica doubts a married man's (Tony Bill) self-defense claim in the death of his lover's husband.
            
Show More
"
404,royal pains,after the fireworks,"

                Hank and Divya treat competitive eaters; Evan steps into a business; Jill finishes at Hamptons Heritage.
            
Show More
"
405,yellowstone,a monster is among us,"

                Rip stumbles upon a dangerous and dire situation; a plan is set in motion designed to squeeze John Dutton and threaten his way of life; Monica begins a tough recovery.
            
Show More
"
406,keeping up with the kardashians,weekend from hell,"

                Kourtney and her sisters go on an ill-fated trip to Santa Barbara, Calif., that makes them wonder if they will ever be close again; Kylie becomes jealous of Kendall.
            
Show More
"
407,the amber ruffin show,episode #04,"

                Amber interviews comedian Wanda Sykes, plays ""The Wrong Song"" with musician Sisqó and explores the erasure of Indigenous Americans.
            
Show More
"
408,summer house,rave goodbye,"

                It's the final weekend at the Summer House, but before the housemates celebrate with an epic end of summer rave, it's a house divided for Kyle and Amanda's bachelor and bachelorette festivities.
            
Show More
"
409,this is us,strangers,"

                Jack meets Rebecca's parents; new characters are introduced.
            
Show More
"
410,clash of the cover bands,clash of the queens of country,"

                Two cover bands go head-to-head, performing the music of country queens Dolly Parton and Carrie Underwood.
            
Show More
"
411,nurses,chrysalis,"

                Grace mediates between a patient's partner and son while adjusting to the unwanted arrival of the new hospital CEO.
            
Show More
"
412,bel-air,no one wins when the family feuds,"

                As the Banks family celebrates Will's birthday, his mom comes to visit, causing unexpected tension; the adults consider whether it's time to tell Will about his father.
            
Show More
"
413,that's my jam,kate & oliver hudson vs. jordana brewster & brent morin,"

                Celebrity guests Kate Hudson, Oliver Hudson, Jordana Brewster and Brent Morin compete in a series of music, dance and trivia-based games and musical performances.
            
Show More
"
414,"murder, she wrote",indian giver,"

                The descendant of a tribe once inhabiting Cabot Cove has a land grant claiming the town as Indian territory.
            
Show More
"
415,heroes,hiros,"

                The police arrive on Niki's doorstep, looking for her fugitive husband; Claire confesses to her father; Hiro and his friend get jumped.
            
Show More
"
416,below deck down under,prom night,"

                The Thalassa crew hosts a prom night for the charter guests after their first adventure to the Great Barrier Reef; Ryan feels left out from the crew's activities; Magda has a hard time pulling her weight.
            
Show More
"
417,the wall,brittany and cj,"

                Brittany, a city event coordinator, and CJ, a middle school teacher, are siblings from Bridgeway, N.J., who take on the wall for their chance at $12 million.
            
Show More
"
418,house,paternity (edited),"

                Dr. House and the team think a teenage lacrosse player has multiple sclerosis until the boy's night-terrors disprove their diagnosis.
            
Show More
"
419,the voice,the knockouts part 3,"

                Ed Sheeran serves as mega mentor to all of the teams on the final night of the knockouts as the coaches, who each have one steal, pair their artists to perform individually against a teammate, then select a winner to move on to the live playoffs.
            
Show More
"
420,charmed,the seven year witch,"

                Piper is attacked by demons and winds up in a coma, and as she hovers between life and death, her spirit meets Cole (Julian McMahon), who says he is trying to help restore Phoebe's faith in love.
            
Show More
"
421,the profit,a crash course in van life,"

                A Los Angeles-based van conversion company is excited to bring even more people to their outdoor lifestyle.
            
Show More
"
422,listing impossible,th best castle in orange county,"

                A $30 million Tuscan-style castle sticks out like a sore thumb in its Newport Beach neighborhood, but the stubborn seller is convinced she's got the right house at the right price; Aaron must find an NFL star the perfect L.A. home.
            
Show More
"
423,summer house,hoedown showdown,"

                Much to Lauren's dismay, Carl brings two uninvited women to Lindsay's 30th birthday hoedown; Everett and Lindsay are on the outs, and Stephen spills a secret that may make the on-and-off again couple turn the switch off permanently.
            
Show More
"
424,yellowstone,no kindness for the coward,"

                Tensions escalate with the protestors, but Beth has a plan; Jimmy and Emily get closer; Monica and Kayce share a special moment.
            
Show More
"
425,the wall,tammy and doug,"

                Tammy, a high school administrator, and husband Doug, an Army veteran, from Newport News, Va., love to help their community; Tammy raises funds every year for her students' prom, and now she and Doug try to dance their way to millions.
            
Show More
"
426,"murder, she wrote",mourning among the wisterias,"

                When Jessica visits a celebrated playwright friend, she encounters murder and an unexpected marriage proposal.
            
Show More
"
427,good girls,jeff,"

                Mary Pat resurfaces in the women's lives as they try to make sense of a shocking discovery Beth has made; Beth and Dean have an important family talk with the kids; Annie and Noah try to work through their problems.
            
Show More
"
428,total bellas,have you cena?,"
Brie decides that she wants to join her sister and John in San Diego, but Daniel is not interested in moving; Nikki and John have an honest conversation about major life decisions; the WWE clears Daniel to return to in-ring competition.
"
429,that's my jam,taika waititi & rita ora vs. normani & taraji p. henson,"

                Celebrity guests Taika Waititi, Rita Ora, Normani and Taraji P. Henson compete in a series of music, dance and trivia-based games and musical performances.
            
Show More
"
430,superstore,deep cleaning,"

                On the day of Store 1217's first deep cleaning since the pandemic began, Glenn ropes Garrett into throwing a party to cheer up the employees; Dina needs Cheyenne's guidance when her ability to run the store is compromised; Jonah tries to help Mateo.
            
Show More
"
431,keeping up with the kardashians,kim's house party,"

                Kim moves into her new mansion and Kris throws her a housewarming party.
            
Show More
"
432,good girl,atom bomb,"

                Beth comes home to a surprise guest; Beth throws Kenny an elaborate birthday party; Ruby's employment at the diner is threatened by a disgruntled teenage customer; Annie comes up with a creative solution for dealing with bullies.
            
Show More
"
433,jay leno's garage,big dreams,"

                Jay Leno kicks Drew Carey's soccer dreams into high gear; James Corden tries to steal Jay's Jag; Jay and Gary Sinise salute a decorated veteran who's helping other vets achieve their dreams; Tammy Pescatelli may be the first to crash car.
            
Show More
"
434,hell's kitchen,4 chefs compete again,"

                The chefs must create a dish that combines the flavors of two countries' cuisines; chef Ramsay must intervene when conflict arises during the dinner service; two chefs face elimination.
            
Show More
"
435,house,after hours,"

                Thirteen turns to Chase when a friend comes to her in need of medical attention and can't be taken to the hospital; House gets devastating news.
            
Show More
"
436,"murder, she wrote",crimson harvest,"

                The mysterious deaths of a winery matriarch's son and a rival vintner lead Jessica into a world of greed and betrayal.
            
Show More
"
437,frasier,crock tales,"

                Frasier finds an old earthenware crock in his kitchen that brings back memories, including the time Roz set him up with her friend (Rosie Perez).
            
Show More
"
438,kitchen nightmares,ms. jean's southern cuisine,"

                Ramsay heads to Pennsylvania's Ms. Jean's Southern Cuisine.
            
Show More
"
439,married to medicine,let the emoji's fly,"

                After a medical mission in Washington, D.C., the group heads home to Atlanta; Damon and Heavenly discuss the March on Washington with their kids; Toya confronts Anila about her finances; Quad and Heavenly come head to head over an emoji incident.
            
Show More
"
440,sisterhood of hip hop,aftermath,"

                Brianna deals with the consequences of her fight with Chloe; Nyemiah struggles with her relationship with Mack Wilds; Diamond meets with T.I for advice on balancing a live performance and giving her label what they need.
            
Show More
"
441,pawn stars,on a mission to pawn,"

                The guys check out a replica of the iconic Blues Mobile; Corey and Chumlee check out a blueprint of the original electric chair; Rick's desk is falling to pieces.
            
Show More
"
442,below deck,"more foam, bosun!","

                Captain Lee and the crew prepares for a new charter season in the Bahamas; the crew welcomes a hotel owner and his friends as their first charter guests; with inclement weather ahead, the crew must keep a ""foam party"" from turning into a wash.
            
Show More
"
443,sisterhood of hip hop,it's all about the benjamins,"

                Bia seeks out Pharrell and Pusha T for advice on a new single; Siya gets too turnt up with her entourage; Diamond moves to LA and the drama between her and Nyemiah comes to a head.
            
Show More
"
444,revelations,hour two,"

                With Satanist Isaiah Haden in prison, Dr. Massey tries to return to his old life, then he must investigate the origin of the so-called miracle child, the sole survivor of a shipwreck off Patmos, Greece.
            
Show More
"
445,angelyne,gods and fairies,"

                Billboards, power plays, casting couches, jealous rivalries, fireworks, wild rides; Angelyne finds her vehicle to fame.
            
Show More
"
446,mr. robot,eps3.4_runtime-error.r00,"

                E Corp is in chaos; Elliot is on the run; Darlene tries to help.
            
Show More
"
447,30 rock,gavin volure,"

                Gavin Volure, an eccentric businessman, invites Jack and Liz to a dinner party at his mansion; Tracy thinks his kids are being too nice to him and fears for his life.
            
Show More
"
448,one team: the power of sports,passing the baton,"

                The path that took Nathan Chen to the top of the podium; how hockey has made all the difference in one little girl's life; water polo superstar Maggie Steffens' humble approach to dominating the pool; how Sam Rapoport made it to the NFL.
            
Show More
"
449,little big shots,too many chefs,"

                A singer from Spain; a 7-year-old chef from India; a 7-year-old one-armed golfer; the world's youngest author; a 10-year-old bass phenom; the strongest kid in the world.
            
Show More
"
450,the voice,live top 9 performances,"

                The top 9 artists perform in front of coaches Kelly Clarkson, John Legend, Blake Shelton and Gwen Stefani for their chance at a spot in the finale; the artists share special dedications and fans are featured throughout.
            
Show More
"
451,summer house,"wine, whining, and wieners","

                When the roommates go to a winery, there is more whining than wine; someone may be evicted as the drama between Lindsay and Cristina reaches a breaking point; while Carl cools off on Lauren, he warms up to Jaclyn at a beach bonfire.
            
Show More
"
452,30 rock,episode 210,"

                Jack meets with German TV executives to close a deal on a cable network; Liz must appear before the co-op board before she can purchase an apartment she wants; Kenneth tries coffee for the first time when Tracy buys a cappuccino machine.
            
Show More
"
453,"murder, she wrote",murder through the looking glass,"

                Jessica hears the confession of a dying hit man who has just completed an assignment, only to find the victim isn't dead.
            
Show More
"
454,that's my jam,ariana grande & blake shelton vs. kelly clarkson & john...,"

                Jimmy Fallon invites ""The Voice"" Season 21 coaches -- Ariana Grande, Blake Shelton, Kelly Clarkson and John Legend -- to play Wheel of Impossible Karaoke, Perfect Mashup, The Vinyl Countdown and Slay It, Don't Spray It.
            
Show More
"
455,a.p. bio,tornado!,"

                A tornado puts the school on lockdown and Helen believes it's coming specifically for her; the kids pass the time by writing fan fiction, ""shipping"" various combinations of faculty members; Mary, Stef and Michelle devise a plan to escape the school.
            
Show More
"
456,summer house,swimming uphill,"

                Kyle changes his behavior; Carl and Paige go on a date in the city, but Paige still isn't sure if Carl is marriage material; Hannah confronts Lindsay about her backhanded compliments; the housemates head to a swanky St. Barth's party in the Hamptons.
            
Show More
"
457,the wall,kd and cj,"

                KD, a church worship director, and CJ, a criminal investigator, are a married couple from Covington, Ga., who are known locally as community heroes; they face the wall, hoping to walk away with millions.
            
Show More
"
458,the office,niagara part 2 (edited),"
Michael spreads rumors about everyone in the office to feel included; Oscar helps Andy through an identity crisis.
"
459,frasier,dark side of the moon,"

                Daphne recalls for her therapist (S. Epatha Merkerson) frustrating events that followed her fiance's planning a surprise wedding shower.
            
Show More
"
460,young rock,in your blood,"

                Hawaii, 1984: As Lia prepares for her trial, she puts Ata in charge of her wrestling promotion and all the problems that come with it; Rocky begins to feel overshadowed by his partner, Tony Atlas; Dewey goes head-to-head with a new classmate.
            
Show More
"
461,ordinary joe,always do the right thing,"

                With Jenny out of town for work, Nurse Joe faces the challenges of parenting Christopher alone; Music Joe brings unexpected attention to his son, Zeke; Cop Joe and Amy struggle with a major decision that could upend their world.
            
Show More
"
462,forensic files,no safe place,"

                Wealthy man is shot dead while his wife is forced to open their hidden safe, but they couldn't be identified because they were wearing ski masks.
            
Show More
"
463,open house nyc,stunning spaces,"

                Kristen Jordan shows off her newest listing -- a Gilded age townhouse in Midtown.
            
Show More
"
464,friday night lights,the right hand of the father,"

                Coach Taylor has difficulty disciplining his players; someone from Vince's past returns; Julie bonds with a member of the faculty; Buddy gets some disturbing news.
            
Show More
"
465,parenthood,"remember me, i'm the one who loves you","

                Julia and Joel go to the hospital for their baby's birth; Sarah thinks about life in New York with Mark; Adam and Crosby get an offer for The Luncheonette; Jasmine and Crosby deal with their past while camping with Jabbar.
            
Show More
"
466,earth odyssey with dylan dreyer,awesome adaptations,"
Dylan Dreyer travels around the world to find extreme nature in the wild, from monkeys at the highest peaks to polar bears in the coldest regions.
"
467,yellowstone,touching your enemy,"

                Jamie tries desperately to walk back a previous mistake; Kayce tracks down evidence; Monica and Martin attend a traditional Indian horse relay.
            
Show More
"
468,earth odyssey with dylan dreyer,snowfall for all,"
Dylan Dreyer travels around the world to find extreme nature in the wild, from monkeys at the highest peaks to polar bears in the coldest regions.
"
469,yellowstone,all i see is you,"

                John seeks revenge with help from some unexpected allies; Kayce solves a problem with an unconventional method; Beth gives Carter his options; Jimmy prepares for a change.
            
Show More
"
470,project runway,the art of fashion,"

                The five remaining designers use art and architecture for inspiration.
            
Show More
"
471,nurses,achilles heel,"

                Ashley receives an ultra-religious patient who is willing to put himself at peril to appease God, forcing Ashley to reconsider her own religious past; Naz supports a pregnant patient through the hardest decision of her life.
            
Show More
"
472,wwe nxt,episode 04,"

                The on-screen rivalry between Kurt Angle and Brock Lesnar is a clash of two of the most highly decorated amateur wrestlers to ever lace up boots in WWE; personal issues outside the ring complicated things inside the squared circle.
            
Show More
"
473,good girls,big kahuna,"

                A huge client approaches Dean to sell merchandise at Boland's Bubbles, but Beth is hesitant; Stan and Ruby's guilt reaches a breaking point when Sara's donor family returns; Annie tries to prove she can keep up with the rich parents at Ben's school.
            
Show More
"
